PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
11027,1025 Minna St APT 2,3921,2.5,2,1320,7/31/2012,7,2012,725000,South of Market,4,Condominium,2003,"1,173,074.00","957,300",94103,-122.416862,37.773424
11028,350-354 S Van Ness Ave,2125,6,10,4831,4/4/2014,4,2014,2633000,Mission,18,MultiFamily2To4,1907,"2,537,309.00","1,167,700",94103,-122.418002,37.767553
11029,425 1st St UNIT 801,56023,1,1,837,7/31/2012,7,2012,611000,South Beach,3,Condominium,2008,"1,168,875.00","1,269,100",94105,-122.392173,37.786064
11030,425 1st St UNIT 3504,56023,1,1,605,7/31/2012,7,2012,625000,South Beach,3,Condominium,2008,"911,321.00","1,269,100",94105,-122.392173,37.786064
11031,542 Kansas St,2495,2,2,1280,7/31/2012,7,2012,870000,Potrero Hill,7,Condominium,1931,"1,431,938.00","1,264,000",94107,-122.403671,37.762825
11032,1870 Jackson St APT 204,0,5,3,1958,7/31/2012,7,2012,1325000,Pacific Heights,6,Condominium,1931,"2,414,433.00","1,884,400",94109,-122.425865,37.79386
11033,126-128 Coleridge St,3397,5,10,3391,8/1/2012,8,2012,540000,Bernal Heights,16,MultiFamily2To4,1900,"2,469,353.00","1,214,400",94110,-122.419925,37.743873
11034,3316 Folsom St,2250,2,2,1420,7/31/2012,7,2012,650000,Bernal Heights,6,Condominium,2004,"1,403,984.00","1,214,400",94110,-122.413641,37.744796
11035,78 Richland Ave,0,2,1,1146,7/31/2012,7,2012,775000,Bernal Heights,5,SingleFamily,1914,"818,414.00","1,214,400",94110,-122.425346,37.735786
11036,463 Ellsworth St,1751,2,3,1750,7/31/2012,7,2012,885000,Bernal Heights,7,SingleFamily,1907,"1,799,548.00","1,214,400",94110,-122.414492,37.73759
11037,900 Capitol Ave,1873,1,2,800,7/31/2012,7,2012,420000,Ingleside,4,SingleFamily,1922,"703,626.00","799,700",94112,-122.458937,37.718331
11038,36 Tingley St,2212,2,4,2092,11/25/2014,11,2014,940000,Mission Terrace,7,SingleFamily,1900,"1,331,688.00","986,000",94112,-122.432508,37.72881
11039,955 Madrid St,2504,1,3,1505,7/31/2012,7,2012,520000,Excelsior,8,SingleFamily,1921,"817,322.00","757,400",94112,-122.437267,37.715219
11040,24 Abbey St,2074,1.5,1,675,7/31/2012,7,2012,630000,Mission,4,Condominium,1900,"850,945.00","1,167,700",94114,-122.427402,37.76349
11041,56 Yukon St,2160,2,3,1120,7/31/2012,7,2012,885000,Eureka Valley - Dolores Heights - Castro,7,SingleFamily,1906,"1,795,300.00","1,718,500",94114,-122.442416,37.758677
11042,3917 18th St,899,2,3,1367,4/19/2013,4,2013,1160000,Eureka Valley - Dolores Heights - Castro,5,SingleFamily,1900,"1,501,086.00","1,718,500",94114,-122.431008,37.761005
11043,747 Grand View Ave,1307,2,2,1492,7/31/2012,7,2012,900000,Noe Valley,5,Condominium,1986,"1,221,212.00","1,751,900",94114,-122.44226,37.748483
